code,activite,categorie,met,intensite,notes
SLP01,Sommeil,Repos,0.95,sedentaire,
SED01,Assis au repos / lecture,Repos,1.3,sedentaire,
SED02,Regarder la television,Repos,1.3,sedentaire,
SED03,Travail de bureau assis / ordinateur,Travail,1.5,sedentaire,
SED04,Reunion assise,Travail,1.5,sedentaire,
SED05,Debout immobile,Repos,1.8,sedentaire,
SED06,Conduire une voiture,Deplacement,2.0,sedentaire,
SED07,Transport en commun assis,Deplacement,1.3,sedentaire,
SED08,Repas a table,Repos,1.5,sedentaire,
MAR01,Marche tres lente (3 km/h),Marche,2.0,legere,
MAR02,Marche lente (4 km/h),Marche,2.8,legere,
MAR03,Marche moderee (4.8 km/h),Marche,3.5,moderee,rythme normal
MAR04,Marche rapide (5.6 km/h),Marche,4.3,moderee,
MAR05,Marche tres rapide (6.4 km/h),Marche,5.0,moderee,
MAR06,Marche en cote / randonnee,Marche,6.0,vigoureuse,
MAR07,Monter des escaliers,Marche,8.0,vigoureuse,
MAR08,Descendre des escaliers,Marche,3.5,moderee,
MAR09,Marche avec le chien,Marche,3.0,moderee,
MAR10,Marche avec poussette,Marche,2.5,legere,
CRS01,Jogging leger,Course,7.0,vigoureuse,
CRS02,Course 8 km/h,Course,8.3,vigoureuse,
CRS03,Course 9.7 km/h,Course,9.8,vigoureuse,
CRS04,Course 11.3 km/h,Course,11.0,tres_vigoureuse,
CRS05,Fractionne / sprint,Course,13.0,tres_vigoureuse,
VEL01,Velo loisir (<16 km/h),Velo,4.0,moderee,
VEL02,Velo moderé (16-19 km/h),Velo,6.8,vigoureuse,
VEL03,Velo soutenu (19-22 km/h),Velo,8.0,vigoureuse,
VEL04,Velo rapide (22-25 km/h),Velo,10.0,tres_vigoureuse,
VEL05,Velo d'appartement moderé,Velo,7.0,vigoureuse,
VEL06,Trajet domicile-travail a velo,Deplacement,6.8,vigoureuse,
NAT01,Natation loisir,Sport,6.0,vigoureuse,
NAT02,Natation longueurs moderee,Sport,8.3,vigoureuse,
NAT03,Aquagym,Sport,5.5,moderee,
SPT01,Football,Sport,7.0,vigoureuse,
SPT02,Basketball,Sport,6.5,vigoureuse,
SPT03,Tennis,Sport,7.3,vigoureuse,
SPT04,Badminton,Sport,5.5,moderee,
SPT05,Volleyball,Sport,4.0,moderee,
SPT06,Danse moderee,Sport,5.0,moderee,
SPT07,Danse soutenue,Sport,7.8,vigoureuse,
SPT08,Arts martiaux,Sport,10.3,tres_vigoureuse,
SPT09,Golf (avec marche),Sport,4.8,moderee,
SPT10,Ski de fond,Sport,9.0,vigoureuse,
FIT01,Yoga doux,Fitness,2.5,legere,
FIT02,Yoga dynamique,Fitness,4.0,moderee,
FIT03,Etirements / mobilite,Fitness,2.3,legere,
FIT04,Musculation legere,Fitness,3.5,moderee,
FIT05,Musculation soutenue,Fitness,6.0,vigoureuse,
FIT06,Gymnastique / abdominaux,Fitness,3.8,moderee,
FIT07,Circuit training,Fitness,8.0,vigoureuse,
FIT08,Elliptique moderé,Fitness,5.0,moderee,
FIT09,Rameur moderé,Fitness,7.0,vigoureuse,
FIT10,Pilates,Fitness,3.0,moderee,
DOM01,Cuisiner,Domestique,2.5,legere,
DOM02,Vaisselle debout,Domestique,2.5,legere,
DOM03,Menage general,Domestique,3.3,moderee,
DOM04,Passer l'aspirateur,Domestique,3.3,moderee,
DOM05,Repassage,Domestique,1.8,sedentaire,
DOM06,Faire les courses,Domestique,2.3,legere,
DOM07,Porter des courses,Domestique,4.0,moderee,
DOM08,Laver les vitres,Domestique,3.2,moderee,
DOM09,S'occuper des enfants (actif),Domestique,3.5,moderee,
JAR01,Jardinage general,Jardinage,3.8,moderee,
JAR02,Tondre la pelouse,Jardinage,5.0,moderee,
JAR03,Becher / retourner la terre,Jardinage,5.0,moderee,
JAR04,Ratisser les feuilles,Jardinage,3.8,moderee,
JAR05,Deneiger a la pelle,Jardinage,6.0,vigoureuse,
JAR06,Bricolage general,Jardinage,3.0,moderee,
TRV01,Travail debout leger (vente),Travail,3.0,moderee,
TRV02,Travail manuel moderé,Travail,4.5,moderee,
TRV03,Manutention / port de charges,Travail,6.5,vigoureuse,
TRV04,Travail de construction,Travail,5.5,moderee,
TRV05,Soins infirmiers / aide-soignant,Travail,3.5,moderee,
LOI01,Jouer d'un instrument assis,Loisir,2.0,legere,
LOI02,Jeux video actifs,Loisir,3.0,moderee,
LOI03,Peche,Loisir,3.5,moderee,
LOI04,Bowling,Loisir,3.8,moderee,
LOI05,Petanque,Loisir,3.0,moderee,
